keyword,search_volume_12mo_avg,recent_3mo_avg,keyword_difficulty,cpc_usd,competition_level,competition_score,yearly_trend_pct,quarterly_trend_pct,monthly_trend_pct,intent
subfloor replacement cost,2400,2067,,19.86,LOW,0.1,-20.8,5.1,-21,informational
subfloor replacement cost calculator,1000,1013,,7.85,LOW,0.1,-45,-55,0.0,informational
cost of subfloor repair,720,783,,10.8,LOW,0.13,49,49,0.0,informational
repair subfloor cost,720,783,,13.69,LOW,0.16,-18.1,-33,-33,informational
subfloor repair cost,720,783,,10.8,LOW,0.13,49,49,0.0,informational
cost to replace plywood subfloor,590,553,,3.98,LOW,0,-18,23,0.0,informational
cost to install plywood subfloor,590,553,,3.98,LOW,0,-18,23,0.0,informational
cost to replace subfloor plywood,590,553,,3.98,LOW,0,-18,23,0.0,informational
plywood subfloor installation cost,480,523,,,LOW,0,-34,-34,-34,informational
mobile home subfloor replacement cost,390,420,,7.71,LOW,0.17,22,-19,0.0,informational
cost to replace bathroom subfloor,320,420,,6.94,LOW,0.18,50,59.5,-19,informational
bathroom subfloor replacement cost,320,397,,10.32,LOW,0.19,23,50,23,informational
cost to install subfloor,320,347,,5.95,LOW,0.08,22,50,0.0,informational
subfloor installation cost,320,347,,5.95,LOW,0.08,22,50,0.0,informational
subfloor cost,260,243,,6.15,MEDIUM,0.55,-19,24,0.0,informational
how much does it cost to replace a subfloor,260,210,,13.3,LOW,0.19,-19,6.8,0.0,informational
how much does it cost to replace subfloor,260,197,,7.16,LOW,0.23,-34,24,0.0,informational
how much does a subfloor cost,140,150,,0.45,MEDIUM,0.36,27.3,21.6,-18,informational
how much does subfloor cost,140,150,,3.84,LOW,0.28,21.4,21,21,informational
bathroom subfloor repair cost,110,140,,17.33,LOW,0.13,27,27,-18,informational
subfloor plywood cost,170,110,,0.58,MEDIUM,0.62,-35,22,0.0,informational
labor cost to replace plywood subfloor per square foot,110,110,,3.71,LOW,0.13,22,13.8,0.0,informational
advantech subfloor cost,90,110,,2.99,MEDIUM,0.51,22.2,13.8,0.0,commercial
mobile home subfloor replacement cost calculator,90,110,,,LOW,0,22,120.0,0.0,informational
plywood subfloor cost,170,103,,0.4,MEDIUM,0.61,-57,-18,-18,informational
cost of subfloor plywood,170,103,,0.4,MEDIUM,0.61,-57,-18,-18,commercial
water damage subfloor repair cost,70,97,,21.27,MEDIUM,0.51,125,26.1,-18,informational
mobile home subfloor repair cost,90,83,,,LOW,0.03,-36,-36,0.0,informational
rotten subfloor repair cost,90,83,,11.62,LOW,0.29,-36,-36,0.0,informational
bathroom subfloor replacement cost calculator,40,83,,,LOW,0,80,80,-18,informational
cost to replace floor joists and subfloor,70,70,,12.9,LOW,0.24,-47,80,29,informational
cost to replace subfloor and joists,70,63,,7.7,LOW,0.16,40.0,40,0.0,informational
rv subfloor replacement cost,70,53,,,LOW,0.1,133,75,40,informational
subfloor replacement cost per square foot,50,53,,9.2,LOW,0.11,-55.6,-43,-20,informational
replace bathroom subfloor around toilet cost,50,50,,10.96,MEDIUM,0.35,0.0,-6.3,0.0,informational
subfloor removal cost,70,47,,,LOW,0.06,-29,25,0.0,informational
cost to repair subfloor,50,47,,15.95,LOW,0.1,-28.6,25,0.0,informational
cost to replace subfloor in mobile home,70,43,,,LOW,0.12,-43,-20,0.0,informational
replacing subfloor cost,50,43,,19.91,LOW,0.32,-43,18.2,-20,informational
replace subfloor cost,50,43,,6.56,LOW,0.3,-29,25,25,informational
subfloor cost per square foot,40,40,,6.38,MEDIUM,0.5,-20.0,9.1,0.0,informational
cost to replace bathroom floor and subfloor,50,37,,8.3,MEDIUM,0.43,-43,-8.3,33,informational
subfloor installation cost per square foot,50,33,,,LOW,0.1,-20,33,33,informational
cost to replace subfloor per square foot,40,27,1,,LOW,0.05,-40,50,0.0,informational
