keyword,search_volume,keyword_difficulty,cpc,main_intent,opportunity_score,cluster
brain breaks for second graders,2400,0,7.88,commercial,6.4368,second_brain_pkm
brain break for second graders,1900,0,10.06,commercial,5.7171,second_brain_pkm
nasa 8 second brain song,1300,2,7.02,commercial,3.2525,second_brain_pkm
nasa's 8 second brain song,1300,2,7.02,commercial,3.2525,second_brain_pkm
second brain,2400,34,5.46,informational,2.9386,second_brain_pkm
building a second brain,1300,16,0.53,informational,1.3799,second_brain_pkm
notion second brain,390,4,8.42,commercial,1.0345,second_brain_pkm
nasa's 7 second brain song,320,0,7.87,commercial,0.8578,second_brain_pkm
nasa 7 second brain song,320,0,7.87,commercial,0.8578,second_brain_pkm
nasa 8 second brain song lyrics,260,2,13.47,informational,0.7176,second_brain_pkm
second brain app,260,0,7.47,commercial,0.6813,second_brain_pkm
the second brain michael gershon,480,17,0.39,commercial,0.6209,second_brain_pkm
michael gershon the second brain,480,17,0.32,commercial,0.6167,second_brain_pkm
second brain michael gershon,480,17,0.32,commercial,0.6167,second_brain_pkm
second brain ai,210,3,8.62,commercial,0.5689,second_brain_pkm
second brain apps,260,0,7.47,informational,0.5451,second_brain_pkm
second brain notion,260,5,1.81,commercial,0.4376,second_brain_pkm
second brain method,260,0,0,commercial,0.39,second_brain_pkm
nasa 10 second brain song,170,0,9.04,informational,0.3884,second_brain_pkm
nasa 10-second brain song,170,0,9.04,informational,0.3884,second_brain_pkm
second brain in gut,390,39,9.71,transactional,0.3751,second_brain_pkm
the second brain,480,37,0.32,informational,0.3745,second_brain_pkm
ai second brain,140,0,4.51,commercial,0.3047,second_brain_pkm
obsidian second brain,260,3,3.95,transactional,0.2815,second_brain_pkm
7 second brain trick,140,0,2.84,commercial,0.2696,second_brain_pkm
7-second brain trick,140,0,2.84,commercial,0.2696,second_brain_pkm
8 second brain song,140,1,5.91,informational,0.2646,second_brain_pkm
nasa 7 second brain song original,140,0,12.14,transactional,0.248,second_brain_pkm
brain teasers for second graders,170,13,1.11,commercial,0.2465,second_brain_pkm
second brain stomach,170,38,5.57,commercial,0.2462,second_brain_pkm
the second largest part of the brain,260,24,0,informational,0.2371,second_brain_pkm
second largest part of brain,320,39,0,informational,0.2342,second_brain_pkm
7 second brain song,110,0,7.69,informational,0.2335,second_brain_pkm
second brain in the stomach,170,30,5.57,informational,0.2223,second_brain_pkm
notion second brain template,260,1,0.53,transactional,0.2168,second_brain_pkm
second brain in stomach,170,35,5.57,informational,0.2065,second_brain_pkm
best second brain app,90,5,5.63,commercial,0.2005,second_brain_pkm
notion second brain templates,260,9,0.53,transactional,0.1993,second_brain_pkm
how to develop a second brain,170,13,0.13,informational,0.1798,second_brain_pkm
your second brain the gut,260,28,1.3,transactional,0.1692,second_brain_pkm
your gut your second brain,260,28,1.3,transactional,0.1692,second_brain_pkm
gut your second brain,260,28,1.3,transactional,0.1692,second_brain_pkm
second brain in your gut,260,28,1.3,transactional,0.1692,second_brain_pkm
what is second brain,170,18,0,informational,0.1673,second_brain_pkm
notion for second brain,110,0,0,commercial,0.165,second_brain_pkm
your gut is your second brain,260,31,1.3,transactional,0.1622,second_brain_pkm
gut is your second brain,260,31,1.3,transactional,0.1622,second_brain_pkm
best second brain apps,90,6,2.73,commercial,0.1615,second_brain_pkm
your gut the second brain,260,28,0.65,transactional,0.1595,second_brain_pkm
is your gut your second brain,260,31,0.65,transactional,0.1528,second_brain_pkm
second brain notion template,170,12,0.66,transactional,0.1276,second_brain_pkm
nasa 7 second brain song original youtube,70,0,0,commercial,0.105,second_brain_pkm
why gut is considered as second brain,140,39,0.12,informational,0.1037,second_brain_pkm
10 second brain song,70,0,1.43,informational,0.096,second_brain_pkm
the gut our second brain,70,19,10.83,transactional,0.0945,second_brain_pkm
nasa 8-second brain detox,110,0,0,transactional,0.088,second_brain_pkm
nasa 8 second brain detox,110,0,0,transactional,0.088,second_brain_pkm
which marine animal has the second largest brain,70,17,0,commercial,0.0872,second_brain_pkm
build a second brain pdf,110,12,0.74,transactional,0.0832,second_brain_pkm
what is a second brain,90,31,0,informational,0.0745,second_brain_pkm
second brain obsidian,70,0,3.05,transactional,0.0731,second_brain_pkm
