keyword,search_volume,keyword_difficulty,cpc,main_intent,opportunity_score,cluster
adult baseball league near me,3600,0,1.62,informational,5.0198,adult_baseball
adult baseball glove,2900,0,0.52,commercial,4.5762,adult_baseball
baseball glove adult,2900,0,0.49,commercial,4.5631,adult_baseball
baseball glove for adult,2900,0,0.49,commercial,4.5631,adult_baseball
adult baseball catchers gear,1900,0,1.1,commercial,3.1635,adult_baseball
national adult baseball association,6600,0,3.54,navigational,2.6809,adult_baseball
baseball catchers gear adult,1600,0,1.01,commercial,2.6424,adult_baseball
baseball adult catchers gear,1600,0,1.01,commercial,2.6424,adult_baseball
adult baseball gloves,2900,0,0.49,transactional,2.4337,adult_baseball
adult baseball mitt,2900,0,0.49,transactional,2.4337,adult_baseball
baseball gloves adult,2900,0,0.49,transactional,2.4337,adult_baseball
baseball mitt adult,2900,0,0.49,transactional,2.4337,adult_baseball
adult baseball league,1000,10,0.55,commercial,1.4243,adult_baseball
baseball bat adult,720,0,0.44,commercial,1.1275,adult_baseball
adult baseball bat,720,0,0.44,commercial,1.1275,adult_baseball
adult baseball bats,720,0,0.44,commercial,1.1275,adult_baseball
adult league baseball,1000,12,0.66,informational,1.1257,adult_baseball
adult baseball leagues near me,3600,12,1.62,navigational,1.1044,adult_baseball
adult baseball helmet,590,0,0.64,commercial,0.9416,adult_baseball
adult baseball helmets,590,0,0.64,commercial,0.9416,adult_baseball
adult baseball glove size,590,0,0.37,commercial,0.9177,adult_baseball
baseball helmets adult,480,0,0.65,commercial,0.7668,adult_baseball
adult baseball batting helmets,480,0,0.65,commercial,0.7668,adult_baseball
baseball helmet adult,480,0,0.65,commercial,0.7668,adult_baseball
what size baseball glove for adult,480,0,0.42,commercial,0.7502,adult_baseball
baseball glove adult size,480,0,0.41,commercial,0.7495,adult_baseball
what size is adult baseball glove,480,0,0.37,commercial,0.7466,adult_baseball
adult baseball leagues san diego,390,0,2.32,commercial,0.7207,adult_baseball
cincinnati adult baseball league,480,0,0,commercial,0.72,adult_baseball
adult baseball league san diego,320,0,3.85,commercial,0.6648,adult_baseball
san diego adult baseball league,320,0,3.85,commercial,0.6648,adult_baseball
best adult baseball glove,390,0,0.88,commercial,0.6365,adult_baseball
san diego adult baseball leagues,320,0,3.85,informational,0.5318,adult_baseball
baseball pants adult,320,0,0.86,commercial,0.5213,adult_baseball
adult baseball batting helmet,590,0,0.64,transactional,0.5022,adult_baseball
baseball adult,320,2,0.55,commercial,0.4963,adult_baseball
left hand baseball glove adult,260,0,0.42,commercial,0.4064,adult_baseball
baseball gloves adult size,480,0,0.49,transactional,0.4028,adult_baseball
adult size baseball glove,480,1,0.41,transactional,0.3957,adult_baseball
what size adult baseball glove,480,1,0.37,transactional,0.3942,adult_baseball
adult baseball,320,2,0.41,informational,0.3917,adult_baseball
maui adult baseball,320,26,0,commercial,0.3552,adult_baseball
best adult baseball gloves,390,0,0.97,transactional,0.3423,adult_baseball
adult baseball backpack,210,0,0.56,commercial,0.3326,adult_baseball
baseball backpack adult,210,0,0.56,commercial,0.3326,adult_baseball
adult baseball chair,390,0,0.58,transactional,0.3301,adult_baseball
adult baseball bat size,210,0,0.3,commercial,0.3245,adult_baseball
berkshire adult baseball league,210,0,0,commercial,0.315,adult_baseball
greater cleveland adult baseball,210,0,0,commercial,0.315,adult_baseball
adult men's baseball league,260,3,0,informational,0.3026,adult_baseball
adult baseball pants,320,0,0.86,transactional,0.278,adult_baseball
baseball costume adult,170,0,0.79,commercial,0.2751,adult_baseball
adult baseball costume,170,0,0.79,commercial,0.2751,adult_baseball
baseball cleats adult,170,0,0.4,commercial,0.2652,adult_baseball
adult baseball cleats,170,0,0.4,commercial,0.2652,adult_baseball
adult baseball leagues,1000,18,0.66,navigational,0.2622,adult_baseball
miami valley adult baseball league,170,0,0,commercial,0.255,adult_baseball
men's adult baseball league,260,36,0,commercial,0.2496,adult_baseball
adult left handed baseball glove,260,0,0.47,transactional,0.2178,adult_baseball
rawlings adult baseball glove,260,0,0.45,transactional,0.2174,adult_baseball
what size baseball glove for adult man,140,0,0.35,commercial,0.2174,adult_baseball
adult baseball glove chair,260,0,0.44,transactional,0.2172,adult_baseball
left handed baseball glove adult,260,0,0.42,transactional,0.2167,adult_baseball
left handed baseball gloves adult,260,0,0.42,transactional,0.2167,adult_baseball
left handed adult baseball gloves,260,0,0.42,transactional,0.2167,adult_baseball
left handed adult baseball glove,260,0,0.42,transactional,0.2167,adult_baseball
baseball glove chair adult,260,0,0.37,transactional,0.2157,adult_baseball
charlotte adult baseball league,140,0,0,commercial,0.21,adult_baseball
men's adult baseball leagues,260,34,0,informational,0.2059,adult_baseball
adult baseball league los angeles,110,0,1.7,commercial,0.193,adult_baseball
adult baseball leagues los angeles,110,0,1.7,commercial,0.193,adult_baseball
adult rawlings baseball glove,210,0,0.58,transactional,0.1777,adult_baseball
cheap adult baseball glove,210,0,0.42,transactional,0.1751,adult_baseball
