keyword,search_volume,keyword_difficulty,cpc,main_intent,opportunity_score,cluster
mint personal finance app,3600,25,7.44,commercial,7.0632,personal_finance
personal finance app mac,1000,11,5.87,commercial,2.1186,personal_finance
mac app personal finance,1000,20,5.87,commercial,1.9044,personal_finance
personal finance app for mac,1000,42,10.57,commercial,1.7896,personal_finance
personal finance mac app,1000,49,10.57,commercial,1.5736,personal_finance
ai powered personal finance app,480,35,7.54,commercial,0.8209,personal_finance
best mac personal finance app,260,22,9.28,commercial,0.5865,personal_finance
best personal finance app mac,260,28,10.73,commercial,0.5821,personal_finance
credit karma personal finance app,720,47,0,commercial,0.5724,personal_finance
best personal finance app for mac,260,31,10.73,commercial,0.5578,personal_finance
personal finance app for iphone,210,45,8.79,commercial,0.3255,personal_finance
