keyword,search_volume,keyword_difficulty,cpc,main_intent,opportunity_score,cluster
scotland run golf club nj,12100,9,0.43,commercial,17.2267,run_club
diplo run club,12100,19,0.11,commercial,14.8632,run_club
scotland run golf club williamstown nj 08094,12100,0,0.43,transactional,10.0962,run_club
hunters run country club boynton beach florida,6600,7,0.95,commercial,10.0817,run_club
cherokee run golf club conyers ga,5400,0,0.82,commercial,8.7642,run_club
golden bear golf club at indigo run,6600,0,1.94,transactional,6.3043,run_club
golden bear golf club indigo run,6600,0,1.89,transactional,6.2779,run_club
fox run golf club missouri,3600,4,2.06,commercial,6.2519,run_club
run club in nyc,3600,1,4.37,informational,6.1458,run_club
river run country club davidson nc,3600,0,0.6,commercial,5.724,run_club
wolf run golf club nevada,3600,7,0.68,commercial,5.3635,run_club
nike and run club app,3600,22,2.69,commercial,5.345,run_club
nike run club app,3600,30,2.69,commercial,4.7968,run_club
bermuda run country club nc,2900,1,0.87,commercial,4.6812,run_club
cherokee run golf club conyers,5400,0,0.82,transactional,4.6742,run_club
cherokee run golf club conyers georgia,5400,1,0.82,transactional,4.6275,run_club
deer run golf club,8100,8,8.94,navigational,4.2342,run_club
newport news golf club deer run,2400,0,1.41,commercial,4.1076,run_club
run club austin,1600,0,10.28,informational,3.8938,run_club
fleet feet run club,2400,0,0.81,commercial,3.8916,run_club
club run and jump,1300,0,9.59,commercial,3.8201,run_club
scotland run golf club,12100,2,0.43,navigational,3.7104,run_club
spring run golf club fl,2400,15,1.64,commercial,3.5618,run_club
run club,12100,25,2.73,navigational,3.4657,run_club
nike run club half-marathon training plan,2400,4,0,commercial,3.456,run_club
red run golf club royal oak,4400,10,0.18,transactional,3.225,run_club
red run golf club royal oak mi,4400,10,0.18,transactional,3.225,run_club
run club near me,9900,19,3.33,navigational,3.2068,run_club
diplo's run club,12100,14,0.11,navigational,3.1561,run_club
run club los angeles,1300,1,5.49,commercial,2.9903,run_club
newport news golf club at deer run,1900,0,0.49,commercial,2.9896,run_club
run club dallas,1900,13,1.88,commercial,2.9456,run_club
rooster run golf club petaluma,2900,0,1.02,transactional,2.5566,run_club
nike run club half-marathon training,720,8,15.06,commercial,2.49,run_club
broad run golfer's club,6600,0,2.52,navigational,2.479,run_club
500 home run club,1600,10,1.14,commercial,2.4062,run_club
pilgrim's run golf club,8100,1,0,navigational,2.4057,run_club
nike and run club,8100,30,3.76,navigational,2.3406,run_club
broad run golf club,6600,0,1.82,navigational,2.3404,run_club
meadow run club house,1300,0,1.97,commercial,2.3342,run_club
club river run apartment homes,1300,0,1.15,commercial,2.1743,run_club
mile high run club ues,1300,2,1.37,commercial,2.1728,run_club
koreatown run club,1000,0,7.3,informational,2.076,run_club
run club san francisco,1000,3,3.9,commercial,2.0225,run_club
wolf run golf club indiana,2400,0,0.52,transactional,2.0198,run_club
hunters run country club,6600,7,0.95,navigational,2.0163,run_club
river run golf club & community,5400,0,2.23,navigational,1.9813,run_club
moccasin run golf club,6600,0,0,navigational,1.98,run_club
nike run club half marathon training plan,2400,4,0,transactional,1.8432,run_club
run club charlotte nc,880,6,4.14,commercial,1.7545,run_club
diplo run club sf,1600,6,4.2,transactional,1.7085,run_club
mile.high run club,5400,4,0.9,navigational,1.6952,run_club
mile high run club,5400,9,0.9,navigational,1.6069,run_club
roses run country club stow,1900,0,0.39,transactional,1.5793,run_club
run club new york,3600,12,6.46,navigational,1.5644,run_club
pheasant run golf club,5400,10,0.69,navigational,1.5586,run_club
nyc run club,3600,0,4.37,navigational,1.552,run_club
run club nyc,3600,0,4.37,navigational,1.552,run_club
diplo run club nyc,1000,5,0,commercial,1.425,run_club
the golf club at indigo run,880,0,0.51,commercial,1.3873,run_club
bull run golf club,4400,0,0.47,navigational,1.382,run_club
the golf club indigo run,880,0,0.47,commercial,1.382,run_club
new york run club,3600,23,6.46,navigational,1.3688,run_club
brooks run club membership,720,0,2.65,commercial,1.3662,run_club
nike run club half marathon training,720,8,15.06,transactional,1.328,run_club
home run 500 club,1000,12,0,commercial,1.32,run_club
diplo run club seattle,880,0,0,commercial,1.32,run_club
diplo run club miami,880,0,0,commercial,1.32,run_club
diplo run club san diego,880,0,0,commercial,1.32,run_club
pike run golf club ottawa ohio,880,0,0,commercial,1.32,run_club
cherokee run golf club,4400,1,0,navigational,1.3068,run_club
shaker run golf club,3600,0,1.95,navigational,1.2906,run_club
diplo run club phoenix,880,3,0,commercial,1.2804,run_club
radley run country club,3600,0,1.79,navigational,1.2733,run_club
run club raleigh,590,0,4.33,commercial,1.2682,run_club
run club raleigh nc,590,0,4.33,commercial,1.2682,run_club
diplo's run club phoenix,880,4,0,commercial,1.2672,run_club
red run golf club mi,4400,6,0.18,navigational,1.2631,run_club
diamond run golf club,3600,1,1.67,navigational,1.2478,run_club
red run golf club,4400,9,0.18,navigational,1.2228,run_club
nike run club app apple watch,1000,20,0,commercial,1.2,run_club
