keyword,search_volume,keyword_difficulty,cpc,main_intent,opportunity_score,cluster
cage batting near me,201000,0,0.6,transactional,170.448,batting_cages
indoor batting cage near me,18100,0,0.72,transactional,15.523,batting_cages
batting cage indoor near me,18100,1,0.72,transactional,15.367,batting_cages
batting cage near me,18100,0,0.58,transactional,15.32,batting_cages
batting cage rental near me,590,2,1.6,commercial,1.006,batting_cages
batting cage open near me,480,2,0.84,commercial,0.765,batting_cages
batting cage rentals near me,590,6,1.6,transactional,0.515,batting_cages
baseball batting cage near me,480,0,1.06,transactional,0.425,batting_cages
closest batting cage near me,210,6,1.27,commercial,0.334,batting_cages
nearest batting cage near me,210,0,0.39,commercial,0.327,batting_cages
cricket batting cage near me,320,1,0.44,transactional,0.265,batting_cages
hittrax batting cage near me,320,0,0.32,transactional,0.264,batting_cages
batting cage with pitching machine near me,260,0,0.64,transactional,0.221,batting_cages
outdoor batting cage near me,210,0,1.16,transactional,0.187,batting_cages
batting cage center near me,480,0,0.22,navigational,0.147,batting_cages
batting cage for sale near me,140,0,1.4,transactional,0.128,batting_cages
softball batting cage near me,170,14,0.72,transactional,0.125,batting_cages
batting cage simulator near me,110,0,1.09,transactional,0.098,batting_cages
dick's sporting goods with batting cage near me,110,0,0.21,transactional,0.09,batting_cages
batting cage near me open now,70,6,0.62,informational,0.084,batting_cages
batting cage near me indoor,90,0,1.57,transactional,0.083,batting_cages
batting cage birthday party near me,90,2,1.24,transactional,0.079,batting_cages
batting cage machine near me,70,0,1.34,transactional,0.064,batting_cages
where is a batting cage near me,70,0,0.49,transactional,0.059,batting_cages
virtual batting cage near me,70,9,1.47,transactional,0.058,batting_cages
batting cage prices near me,70,0,0.2,transactional,0.057,batting_cages
batting cage bar near me,70,9,0.82,transactional,0.055,batting_cages
batting cage installation near me,110,0,5.05,navigational,0.05,batting_cages
