keyword,search_volume,keyword_difficulty,cpc,main_intent,opportunity_score,cluster
summer camp for adult,6600,0,2.57,commercial,12.444,adult_sports_camp
adult summer camp,6600,1,2.53,navigational,2.456,adult_sports_camp
adult summer camp california,320,0,5.67,commercial,0.752,adult_sports_camp
california adult summer camp,320,0,2.26,commercial,0.588,adult_sports_camp
adult summer camp near me,480,10,2.97,transactional,0.448,adult_sports_camp
adult summer camp nyc,260,6,1.3,commercial,0.414,adult_sports_camp
adult summer camp new york,260,7,1.3,commercial,0.41,adult_sports_camp
adult summer camp texas,210,7,1.67,commercial,0.342,adult_sports_camp
adult summer camp georgia,70,4,23.67,commercial,0.302,adult_sports_camp
adult summer camp florida,170,0,1.64,commercial,0.297,adult_sports_camp
adult summer camp in florida,170,0,1.64,commercial,0.297,adult_sports_camp
adult summer camp for women,140,10,4.41,commercial,0.272,adult_sports_camp
adult summer camp michigan,170,10,1.43,commercial,0.262,adult_sports_camp
adult summer camp in michigan,170,11,1.43,commercial,0.259,adult_sports_camp
adult summer camp oregon,90,6,10.23,commercial,0.257,adult_sports_camp
young adult summer camp,170,19,2.25,commercial,0.253,adult_sports_camp
adult summer camp in texas,170,15,0.96,commercial,0.238,adult_sports_camp
adult summer camp wisconsin,140,12,1.72,commercial,0.217,adult_sports_camp
adult summer camp colorado,110,6,1.99,commercial,0.186,adult_sports_camp
adult summer camp tennessee,110,0,1.14,commercial,0.184,adult_sports_camp
adult summer camp games,90,0,3.25,commercial,0.179,adult_sports_camp
adult summer camp activities,140,4,0.14,informational,0.164,adult_sports_camp
adult summer camp in wisconsin,110,6,1.96,informational,0.148,adult_sports_camp
adult summer camp ohio,110,11,0,commercial,0.147,adult_sports_camp
adult only summer camp,110,11,0,commercial,0.147,adult_sports_camp
adult summer camp virginia,70,0,1.68,commercial,0.123,adult_sports_camp
adult summer camp 2025,90,6,8.09,transactional,0.122,adult_sports_camp
adult summer camp maryland,70,0,1.51,commercial,0.121,adult_sports_camp
adult summer camp connecticut,90,23,1.12,commercial,0.116,adult_sports_camp
adult summer camp minnesota,70,0,0,commercial,0.105,adult_sports_camp
adult summer camp washington,70,0,0,commercial,0.105,adult_sports_camp
adult summer camp ct,70,15,0.59,commercial,0.095,adult_sports_camp
adult summer camp north carolina,140,0,7.61,navigational,0.074,adult_sports_camp
adult summer camp pennsylvania,110,2,12.44,navigational,0.073,adult_sports_camp
florida adult summer camp,170,2,1.99,navigational,0.06,adult_sports_camp
michigan adult summer camp,170,10,1.43,navigational,0.052,adult_sports_camp
texas adult summer camp,170,14,0.96,navigational,0.048,adult_sports_camp
wisconsin adult summer camp,110,9,1.96,navigational,0.036,adult_sports_camp
the acres adult summer camp,90,15,0,navigational,0.023,adult_sports_camp
