keyword,search_volume,keyword_difficulty,cpc,main_intent,opportunity_score,cluster
aurora borealis tour,165000,22,6.57,unknown,213.256,aurora_tourism
tour aurora borealis,165000,20,6.57,unknown,218.724,aurora_tourism
aurora borealis tour alaska,40500,8,4.71,unknown,54.809,aurora_tourism
aurora borealis alaska tour,40500,3,4.71,unknown,57.788,aurora_tourism
aurora borealis tour fairbanks,33100,2,8.04,unknown,58.518,aurora_tourism
aurora borealis fairbanks tour,33100,,8.04,unknown,29.856,aurora_tourism
aurora borealis tour tromso,8100,13,13.81,unknown,16.779,aurora_tourism
tromso aurora borealis tour,8100,13,13.81,unknown,16.779,aurora_tourism
tour aurora borealis iceland,6600,17,8.95,unknown,10.381,aurora_tourism
iceland aurora borealis tour,6600,18,8.95,unknown,10.256,aurora_tourism
aurora borealis norway tour,5400,0,8.73,unknown,10.114,aurora_tourism
aurora borealis tour norway,5400,11,8.73,unknown,9.002,aurora_tourism
aurora borealis tour canada,2400,29,8.95,unknown,3.229,aurora_tourism
canada aurora borealis tour,2400,29,8.95,unknown,3.229,aurora_tourism
greenland aurora borealis tour,2400,0,4.94,unknown,3.586,aurora_tourism
aurora borealis tour reykjavik,1900,0,8.69,unknown,3.551,aurora_tourism
reykjavik aurora borealis tour,1900,0,8.69,unknown,3.551,aurora_tourism
iceland tour aurora borealis,880,17,9.12,unknown,1.397,aurora_tourism
aurora borealis tour iceland,880,17,9.12,unknown,1.397,aurora_tourism
aurora borealis iceland tour,880,17,9.12,unknown,1.397,aurora_tourism
tour to see aurora borealis,720,19,6.8,unknown,0.98,aurora_tourism
aurora borealis tour rovaniemi,390,0,6.93,unknown,0.66,aurora_tourism
best aurora borealis tour,320,0,10.22,unknown,0.647,aurora_tourism
aurora borealis tour package,320,18,7.24,unknown,0.452,aurora_tourism
aurora borealis tour yellowknife,70,29,2.82,unknown,0.064,aurora_tourism
aurora borealis tour tromsø,70,12,0,unknown,0.062,aurora_tourism
