keyword,search_volume,keyword_difficulty,cpc,main_intent,opportunity_score,cluster
water damage restoration company near me,301000,33,45.83,unknown,605.01,home_repair
water damage restoration near me,301000,41,45.83,unknown,532.77,home_repair
water damage restoration companies near me,301000,32,45.83,unknown,614.04,home_repair
water restoration damage near me,301000,41,45.83,unknown,532.77,home_repair
water damage restoration service near me,301000,35,45.83,unknown,586.95,home_repair
water damage restoration services near me,301000,35,45.83,unknown,586.95,home_repair
restoration water damage companies near me,4400,31,26.54,unknown,9.108,home_repair
emergency water damage restoration near me,1600,16,44.32,unknown,4.032,home_repair
commercial water damage restoration near me,480,11,0,unknown,0.427,home_repair
best water damage restoration near me,480,24,20.34,unknown,1.094,home_repair
restoration water damage near me,390,32,18.85,unknown,0.765,home_repair
best water damage restoration service near me,390,15,0,unknown,0.332,home_repair
servpro water damage restoration near me,320,24,0,unknown,0.243,home_repair
residential water damage restoration near me,320,24,6.43,unknown,0.4,home_repair
professional water damage restoration near me,260,39,0,unknown,0.159,home_repair
water damage and restoration near me,210,32,118,unknown,0.428,home_repair
fire and water damage restoration near me,210,33,47.27,unknown,0.422,home_repair
fire and water damage restoration companies near me,170,31,22.15,unknown,0.352,home_repair
best water damage restoration companies near me,140,12,47.42,unknown,0.37,home_repair
best water damage restoration company near me,140,12,47.42,unknown,0.37,home_repair
