keyword,search_volume,competition_index,cpc,competition,cluster
high protein low calorie snack,14800,100,0.84,HIGH,new_ideas_a
low calorie high protein snack,14800,100,0.84,HIGH,new_ideas_a
healthy low calorie snacks,5400,98,0.7,HIGH,new_ideas_a
high protein snack ideas,5400,89,0.49,HIGH,new_ideas_a
data marketplace,1300,17,21.39,LOW,new_ideas_a
learn to read app,1000,65,9.78,MEDIUM,new_ideas_a
hotel booking engine,880,34,20.54,MEDIUM,new_ideas_a
hotel booking system,480,2,62.97,LOW,new_ideas_a
hotel channel manager,480,6,67.26,LOW,new_ideas_a
ai reading tutor,110,42,5.74,MEDIUM,new_ideas_a
small business ai tools,110,13,17.77,LOW,new_ideas_a
hotel website builder,90,6,48.78,LOW,new_ideas_a
hotel direct booking,70,20,3.91,LOW,new_ideas_a
low cholesterol protein snacks,20,88,0.56,HIGH,new_ideas_a
ai for local business,20,50,29.32,MEDIUM,new_ideas_a
ai business assistant app,20,86,10.8,HIGH,new_ideas_a
avoid airbnb fees,10,10,0,LOW,new_ideas_a
phonics app for kids,0,0,0,,new_ideas_a
best reading app for kids,0,0,0,,new_ideas_a
teach kids to read at home,0,0,0,,new_ideas_a
phonics program for kids,0,0,0,,new_ideas_a
kids reading program app,0,0,0,,new_ideas_a
ai chief of staff app,0,0,0,,new_ideas_a
ai email assistant for business,0,0,0,,new_ideas_a
direct booking hotel software,0,0,0,,new_ideas_a
airbnb alternative for hotels,0,0,0,,new_ideas_a
api data marketplace,0,0,0,,new_ideas_a
dataset marketplace for developers,0,0,0,,new_ideas_a
buy api data,0,0,0,,new_ideas_a
ai dataset api,0,0,0,,new_ideas_a
