keyword,search_volume,competition_index,cpc,competition,cluster
tropical fruit box,2400,100,1.82,HIGH,new_ideas_b
high protein noodles,1900,100,0.65,HIGH,new_ideas_b
games to play with girlfriend,1600,11,0.81,LOW,new_ideas_b
ai for wordpress,1000,59,10.06,MEDIUM,new_ideas_b
co-op games for couples,1000,20,0.44,LOW,new_ideas_b
games to play with partner,1000,53,1.11,MEDIUM,new_ideas_b
little league umpire,720,0,0,LOW,new_ideas_b
fruit subscription box,480,100,4.66,HIGH,new_ideas_b
soba noodles protein,390,22,0.24,LOW,new_ideas_b
youth baseball coach,320,9,2.48,LOW,new_ideas_b
cozy co-op games,320,3,3.91,LOW,new_ideas_b
exotic fruit delivery,260,100,2.37,HIGH,new_ideas_b
high protein low carb noodles,110,100,0.57,HIGH,new_ideas_b
ai wordpress plugin,110,15,13.9,LOW,new_ideas_b
wordpress ai assistant,90,6,10.61,LOW,new_ideas_b
ai prompting skills,30,32,0,LOW,new_ideas_b
street cleaning reminder app,20,0,0,LOW,new_ideas_b
where did i park app,20,8,0.07,LOW,new_ideas_b
parking reminder app,10,0,0,LOW,new_ideas_b
youth sports live streaming,10,0,0,LOW,new_ideas_b
relaxing co-op games switch,10,100,0.11,HIGH,new_ideas_b
rare fruit delivery,10,100,2.88,HIGH,new_ideas_b
prompt engineering test,10,14,0,LOW,new_ideas_b
protein pasta alternative,0,0,0,,new_ideas_b
street sweeping alert app,0,0,0,,new_ideas_b
avoid parking ticket app,0,0,0,,new_ideas_b
hire youth baseball coach,0,0,0,,new_ideas_b
youth sports coaching services,0,0,0,,new_ideas_b
sports umpire near me,0,0,0,,new_ideas_b
how good am i at prompting,0,0,0,,new_ideas_b
gamechanger youth sports,0,0,0,,new_ideas_b
