keyword,search_volume,keyword_difficulty,cpc,main_intent,cluster
marketplace data center,3600,19,4.13,unknown,data_marketplace
marketplace data,2900,12,10.09,unknown,data_marketplace
data marketplace,1300,6,21.39,unknown,data_marketplace
snowflake data marketplace,480,7,19.14,unknown,data_marketplace
prosper marketplace data breach,320,0,0.81,unknown,data_marketplace
financial data marketplace,260,44,2.55,unknown,data_marketplace
data center marketplace,210,12,15.6,unknown,data_marketplace
data products marketplace,170,0,22.21,unknown,data_marketplace
data product marketplace,170,0,22.21,unknown,data_marketplace
global data marketplace,140,0,0,unknown,data_marketplace
aws data marketplace,110,16,6.42,unknown,data_marketplace
data analytics marketplace,90,17,27.65,unknown,data_marketplace
liveramp data marketplace,90,0,7.62,unknown,data_marketplace
ai training data marketplace,70,25,4.41,unknown,data_marketplace
big data marketplace,50,6,0,unknown,data_marketplace
databricks data marketplace,50,13,21.65,unknown,data_marketplace
data marketplace opendatasoft,40,0,0,unknown,data_marketplace
data marketplace platform,40,0,16.74,unknown,data_marketplace
snowflake marketplace data,40,10,0,unknown,data_marketplace
amazon data marketplace,40,21,14.06,unknown,data_marketplace
alternative data marketplace,40,21,9.8,unknown,data_marketplace
what is a data marketplace,40,0,0,unknown,data_marketplace
