keyword,search_volume,keyword_difficulty,cpc,main_intent,cluster
co op games for couples,1000,0,0.48,unknown,coop_games_couples
co-op games for couples,1000,0,0.44,unknown,coop_games_couples
co op video games for couples,480,0,0.25,unknown,coop_games_couples
co-op mobile games for couples,390,0,10.42,unknown,coop_games_couples
co op mobile games for couples,390,0,2.59,unknown,coop_games_couples
co op board games for couples,260,0,0.43,unknown,coop_games_couples
co-op board games for couples,260,0,0.29,unknown,coop_games_couples
co op switch games for couples,210,0,0.25,unknown,coop_games_couples
best co-op games for couples,210,0,0.3,unknown,coop_games_couples
co-op switch games for couples,210,0,0.25,unknown,coop_games_couples
best co op games for couples,210,0,0,unknown,coop_games_couples
co op ps5 games for couples,140,0,0.25,unknown,coop_games_couples
switch co op games for couples,140,0,0.28,unknown,coop_games_couples
switch co-op games for couples,140,0,0.28,unknown,coop_games_couples
co op xbox games for couples,140,5,0.2,unknown,coop_games_couples
ps5 co op games for couples,140,0,0.25,unknown,coop_games_couples
ps5 co-op games for couples,140,,0.25,unknown,coop_games_couples
co op steam games for couples,110,1,0,unknown,coop_games_couples
free co-op games for couples,90,0,0,unknown,coop_games_couples
online co-op games for couples,90,0,0,unknown,coop_games_couples
free co op games for couples,90,0,0,unknown,coop_games_couples
online co op games for couples,90,0,0,unknown,coop_games_couples
cute co op games for couples,70,0,0,unknown,coop_games_couples
fun co op games for couples,70,0,0,unknown,coop_games_couples
best co op switch games for couples,70,0,0.38,unknown,coop_games_couples
co op pc games for couples,70,0,0.14,unknown,coop_games_couples
cute co-op games for couples,70,0,0,unknown,coop_games_couples
co-op pc games for couples,70,0,0.05,unknown,coop_games_couples
good co-op games for couples,70,0,0.03,unknown,coop_games_couples
couch co-op games for couples,70,0,0.02,unknown,coop_games_couples
xbox co op games for couples,70,1,0.16,unknown,coop_games_couples
good co op games for couples,70,0,0.03,unknown,coop_games_couples
couch co op games for couples,70,0,0.02,unknown,coop_games_couples
