keyword,search_volume,competition_index,cpc
fitted cap men,9900,100,0.89
hat for working out,1900,100,2.16
sweat wicking hat,1900,100,1.32
king and fifth hat,1900,100,0.57
best baseball cap men,1300,100,1.95
moisture wicking cap,1300,100,1.78
tennis hat men,1000,100,1.51
running hat men,590,100,1.04
athletic baseball cap,480,100,0.92
best hat for working out,480,100,3.59
moisture wicking baseball cap,390,100,1.77
sport baseball cap,320,100,0.72
performance trucker hat,260,100,1.65
performance baseball cap,170,100,1.15
hiking hat men,170,100,0.91
golf performance hat,170,100,1.16
gym hat men,140,100,2.27
workout hat men,110,100,2.27
best fitting baseball cap,90,100,1.73
running cap men,50,100,1.27
best running hat men,50,100,1.27
premium fitted cap,20,71,4.80
flexfit performance cap,10,100,0.90
