keyword,search_volume,keyword_difficulty,cpc
best way to wash a baseball cap,3600,15,0.41
best way wash baseball cap,3600,4,0.42
best way to clean a baseball cap,3600,2,0.41
best baseball cap,1300,20,1.74
best baseball cap for men,1300,11,1.95
best baseball cap men,1300,11,1.95
best cap baseball,1300,6,1.74
best men's baseball cap,1300,11,1.95
best ladies baseball cap,880,0,1.19
best baseball cap for women,880,0,1.19
best baseball cap women,880,6,1.19
best women's baseball cap,880,2,1.21
best baseball cap brands,320,5,1.42
best baseball cap brand,320,25,1.42
best quality baseball cap,110,7,1.64
best fitting baseball cap,90,0,1.96
best waterproof baseball cap,70,0,1.45
best vintage baseball cap,70,0,0.62
best baseball cap for big heads,70,0,2.46
best baseball cap for large head,70,0,2.46
best looking baseball cap,70,7,2.85
