keyword,search_volume,competition_index,cpc
mortgage calculator,2740000,28,2.33
bmi calculator,2740000,24,0.72
compound interest calculator,673000,7,2.16
json formatter,110000,3,15.47
color palette generator,90500,1,5.02
savings calculator,60500,10,3.96
body fat percentage calculator,49500,4,1.95
json validator,27100,1,4.86
calorie burn calculator,27100,1,0.84
regex tester,22200,1,11.24
base64 encoder,18100,0,8.75
rent vs buy calculator,18100,11,1.38
heart rate zone calculator,9900,1,1.06
batting average calculator,6600,2,0.04
css gradient generator,2400,1,52.15
slugging percentage calculator,1900,0,0.00
cron expression generator,1600,2,5.99
era calculator baseball,1000,3,0.05
obp calculator,590,0,0.00
markdown to html converter,390,2,0.00
baseball stat calculator,320,2,0.00
whip calculator baseball,170,0,0.00
exit velocity calculator,110,0,0.00
