keyword,search_volume,competition_index,cpc
wedding planning checklist,74000,100,3.05
wedding planning tool,74000,42,6.69
wedding planning platform,74000,0,10.79
wedding budget planner,40500,12,4.29
wedding planning app,18100,37,7.54
wedding planner app,18100,37,7.54
wedding website builder,12100,4,21.83
wedding planning timeline,6600,100,1.85
wedding planning spreadsheet,2400,100,5.09
wedding budget calculator,1900,29,3.81
wedding cost calculator,1900,29,3.81
wedding seating chart tool,1300,13,1.96
wedding invitation maker,880,94,5.93
online wedding planner,880,83,7.06
wedding planning software,590,20,35.65
free wedding planning app,590,64,10.56
ai wedding planner,390,35,2.62
ai wedding planning,390,35,2.62
wedding planning organizer,390,100,2.07
best wedding planning app,320,49,8.23
wedding guest list manager,170,16,9.36
wedding registry app,110,11,11.19
wedding planning ai,110,52,3.68
ai for wedding planning,30,32,3.43
chatgpt wedding planning,20,15,24.30
wedding vendor management,20,86,6.53
wedding vendor quotes,10,null,0.00
ai wedding assistant,0,null,0.00
wedding vendor finder,0,null,0.00
