keyword,search_volume,competition_index,cpc
wedding invitation template,40500,100,3.57
wedding checklist,22200,100,1.71
wedding budget,18100,13,4.02
wedding seating chart,18100,100,1.42
average wedding cost,14800,6,4.39
wedding planner near me,12100,41,3.56
wedding photographer near me,9900,14,4.97
how much does a wedding cost,9900,14,4.26
wedding caterer near me,8100,31,3.19
how to plan a wedding,5400,65,3.95
wedding day timeline,4400,100,0.72
wedding registry checklist,1900,20,4.33
wedding cost breakdown,1300,25,2.43
wedding planning tips,1000,16,3.39
wedding venue finder,880,60,4.06
wedding planning help,170,36,8.86
wedding rsvp tracker,30,77,8.52
wedding vendor contract template,40,100,10.16
