keyword,search_volume,keyword_difficulty,cpc,cluster
adult softball league near me,5400,6,1.71,adult_softball
softball adult league,1900,11,1.64,adult_softball
adult softball league,1900,0,1.64,adult_softball
adult league softball,1900,1,1.64,adult_softball
philadelphia adult league softball,210,0,0.00,adult_softball
softball league adult near me,140,23,1.14,adult_softball
san diego adult softball league,70,0,1.79,adult_softball
adult softball league san diego,70,0,1.79,adult_softball
adult softball league las vegas,70,0,0.00,adult_softball
softball league adult,50,16,1.29,adult_softball
houston adult softball league,50,0,0.00,adult_softball
coed adult softball league,50,0,0.95,adult_softball
adult softball league los angeles,50,0,1.89,adult_softball
adult softball league houston,50,0,0.00,adult_softball
adult league softball near me,50,11,0.50,adult_softball
adult coed softball league,50,0,0.95,adult_softball
