keyword,search_volume,keyword_difficulty,cpc,cluster
adult basketball league near me,5400,0,3.70,adult_basketball
basketball league adult,1900,0,3.37,adult_basketball
basketball adult league,1900,0,3.37,adult_basketball
adult league basketball,1900,0,3.37,adult_basketball
adult basketball league,1900,0,3.37,adult_basketball
ymca adult basketball league,390,0,6.68,adult_basketball
adult basketball league ymca,390,0,6.68,adult_basketball
adult men's basketball league near me,260,0,4.07,adult_basketball
taos adult basketball league,210,0,0.00,adult_basketball
adult women's basketball league near me,210,0,1.99,adult_basketball
adult men's basketball league,210,0,1.29,adult_basketball
san diego adult basketball league,170,0,3.35,adult_basketball
basketball adult league near me,170,0,3.35,adult_basketball
adult basketball league san diego,170,0,3.35,adult_basketball
men's adult basketball league,140,2,1.80,adult_basketball
adult rec league basketball,140,17,17.72,adult_basketball
adult rec basketball league,140,6,17.72,adult_basketball
women's adult basketball league near me,110,0,0.74,adult_basketball
torrance adult basketball league,110,0,0.00,adult_basketball
men's adult basketball league near me,110,3,0.00,adult_basketball
atlanta adult basketball league,110,0,1.43,adult_basketball
anaheim adult basketball league,110,0,15.14,adult_basketball
adult women's basketball league,110,0,0.00,adult_basketball
adult women basketball league,110,0,0.00,adult_basketball
adult basketball league atlanta,110,0,1.43,adult_basketball
women's adult basketball league,90,0,1.88,adult_basketball
summer adult basketball league,90,4,0.38,adult_basketball
miami adult basketball league,90,0,3.08,adult_basketball
los angeles adult basketball league,90,0,4.27,adult_basketball
las vegas adult basketball league,90,0,0.00,adult_basketball
houston adult basketball league,90,0,7.50,adult_basketball
adult summer league basketball,90,7,0.38,adult_basketball
adult summer basketball league,90,5,0.38,adult_basketball
adult basketball summer league,90,11,0.38,adult_basketball
adult basketball league miami,90,0,3.08,adult_basketball
adult basketball league los angeles,90,0,4.27,adult_basketball
adult basketball league las vegas,90,0,0.00,adult_basketball
adult basketball league houston,90,0,7.50,adult_basketball
san antonio adult basketball league,70,0,0.00,adult_basketball
orlando adult basketball league,70,0,0.00,adult_basketball
