keyword,search_volume,keyword_difficulty,cpc,cluster
adult volleyball league near me,4400,5,2.81,adult_volleyball
volleyball league adult,1300,9,2.25,adult_volleyball
volleyball adult league,1300,0,2.25,adult_volleyball
adult volleyball league,1300,9,2.25,adult_volleyball
adult league volleyball,1300,0,2.25,adult_volleyball
volleyball adult league near me,260,0,2.57,adult_volleyball
adult indoor volleyball league near me,140,0,2.13,adult_volleyball
adult women's volleyball league near me,110,0,1.50,adult_volleyball
beach volleyball adult league,90,1,2.03,adult_volleyball
adult sand volleyball league,90,0,2.03,adult_volleyball
adult beach volleyball league,90,0,2.03,adult_volleyball
adult beach volleyball league near me,90,0,2.19,adult_volleyball
ymca adult volleyball league,70,0,1.84,adult_volleyball
adult volleyball league houston,70,6,0.00,adult_volleyball
adult league volleyball near me,70,0,2.38,adult_volleyball
adult volleyball league atlanta,50,16,2.08,adult_volleyball
adult indoor volleyball league,50,0,1.97,adult_volleyball
