keyword,search_volume,keyword_difficulty,cpc,cluster
pickup soccer near me,1300,0,0.00,pickup_sports
pickup soccer games near me,590,0,0.00,pickup_sports
soccer pickup games near me,590,17,0.00,pickup_sports
pickup basketball near me,880,0,4.53,pickup_sports
pickup basketball games near me,170,0,5.54,pickup_sports
basketball pickup games near me,170,1,5.54,pickup_sports
men's pickup basketball near me,70,0,0.00,pickup_sports
adult pickup basketball near me,50,0,1.50,pickup_sports
indoor pickup basketball near me,50,5,1.64,pickup_sports
basketball pickup near me,50,5,7.00,pickup_sports
